FLO9	YAL063C	FLO9	Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation
SAM1	YLR180W	SAM1	S-adenosylmethionine synthetase, catalyzes transfer of the adenosyl group of ATP to the sulfur atom of methionine; one of two differentially regulated isozymes (Sam1p and Sam2p)
RPL37A	YLR185W	RPL37A	Protein component of the large (60S) ribosomal subunit, has similarity to Rpl37Bp and to rat L37 ribosomal protein
SKG3	YLR187W	SKG3	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery, cytoplasm, bud, and bud neck; potential Cdc28p substrate; similar to Caf120p and Skg4p
MMR1	YLR190W	MMR1	Phosphorylated protein of the mitochondrial outer membrane, localizes only to mitochondria of the bud; interacts with Myo2p to mediate mitochondrial distribution to buds; mRNA is targeted to the bud via the transport system involving She2p
HCR1	YLR192C	HCR1	Dual function protein involved in translation initiation as a substoichiometric component (eIF3j) of translation initiation factor 3 (eIF3) and required for processing of 20S pre-rRNA; binds to eIF3 subunits Rpg1p and Prt1p and 18S rRNA
UPS1	YLR193C	UPS1	Mitochondrial intermembrane space protein that regulates mitochondrial cardiolipin levels, null has defects in Mgm1p processing, integrity of mitochondrial inner membrane complexes, and mitochondrial morphology; ortholog of human PRELI
PWP1	YLR196W	PWP1	Protein with WD-40 repeats involved in rRNA processing; associates with trans-acting ribosome biogenesis factors; similar to beta-transducin superfamily
NOP56	YLR197W	NOP56	Essential evolutionarily-conserved nucleolar protein component of the box C/D snoRNP complexes that direct 2'-O-methylation of pre-rRNA during its maturation; overexpression causes spindle orientation defects
YLR198C	YLR198C	YLR198C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; overlaps the verified gene SIK1/YLR197W
YKE2	YLR200W	YKE2	Subunit of the heterohexameric Gim/prefoldin protein complex involved in the folding of alpha-tubulin, beta-tubulin, and actin
YLR202C	YLR202C	YLR202C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF YLR201C; ORF contains a putative intron
MSS51	YLR203C	MSS51	Specific translational activator for the mitochondrial COX1 mRNA; loosely associated with the matrix face of the mitochondrial inner membrane; influences both COX1 mRNA translation and Cox1p assembly into cytochrome c oxidase
CPR6	YLR216C	CPR6	Peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; binds to Hsp82p and contributes to chaperone activity
YLR217W	YLR217W	YLR217W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene CPR6
CCC1	YLR220W	CCC1	Putative vacuolar Fe2+/Mn2+ transporter; suppresses respiratory deficit of yfh1 mutants, which lack the ortholog of mammalian frataxin, by preventing mitochondrial iron accumulation
RSA3	YLR221C	RSA3	Protein with a likely role in ribosomal maturation, required for accumulation of wild-type levels of large (60S) ribosomal subunits; binds to the helicase Dbp6p in pre-60S ribosomal particles in the nucleolus
UTP13	YLR222C	UTP13	Nucleolar protein, component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA
IFH1	YLR223C	IFH1	Coactivator that regulates transcription of ribosomal protein (RP) genes; recruited to RP gene promoters during optimal growth conditions via Fhl1p; subunit of CURI, a complex that coordinates RP production and pre-rRNA processing
BNA5	YLR231C	BNA5	Kynureninase, required for the de novo biosynthesis of NAD from tryptophan via kynurenine; expression regulated by Hst1p
FAR10	YLR238W	FAR10	Protein involved in recovery from cell cycle arrest in response to pheromone, in a Far1p-independent pathway; interacts with Far3p, Far7p, Far8p, Far9p, and Far11p; potential Cdc28p substrate
ARV1	YLR242C	ARV1	Protein functioning in transport of glycosylphosphatidylinositol intermediates into ER lumen; required for normal intracellular sterol distribution; human ARV1 required for normal cholesterol and bile acid homeostasis; similar to Nup120p
GPN3	YLR243W	GPN3	Putative protein of unknown function; YLR243W is an essential gene
MAP1	YLR244C	MAP1	Methionine aminopeptidase, catalyzes the cotranslational removal of N-terminal methionine from nascent polypeptides; function is partially redundant with that of Map2p
RCK2	YLR248W	RCK2	Protein kinase involved in the response to oxidative and osmotic stress; identified as suppressor of S. pombe cell cycle checkpoint mutations; similar to CaM (calmodulin) kinases
YEF3	YLR249W	YEF3	Gamma subunit of translational elongation factor eEF1B, stimulates the binding of aminoacyl-tRNA (AA-tRNA) to ribosomes by releasing eEF1A (Tef1p/Tef2p) from the ribosomal complex; contains two ABC cassettes; binds and hydrolyzes ATP
HAP1	YLR256W	HAP1	Zinc finger transcription factor involved in the complex regulation of gene expression in response to levels of heme and oxygen; the S288C sequence differs from other strain backgrounds due to a Ty1 insertion in the carboxy terminus
YLR257W	YLR257W	YLR257W	Putative protein of unknown function
HSP60	YLR259C	HSP60	Tetradecameric mitochondrial chaperonin required for ATP-dependent folding of precursor polypeptides and complex assembly; prevents aggregation and mediates protein refolding after heat shock; role in mtDNA transmission; phosphorylated
RED1	YLR263W	RED1	Protein component of the synaptonemal complex axial elements, involved in chromosome segregation during the first meiotic division; critical for coupling checkpoint signaling to SC formation; interacts with Hop1p, Mec3p and Ddc1p
RPS28B	YLR264W	RPS28B	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps28Ap and has similarity to rat S28 ribosomal protein
SEC22	YLR268W	SEC22	R-SNARE protein; assembles into SNARE complex with Bet1p, Bos1p and Sed5p; cycles between the ER and Golgi complex; involved in anterograde and retrograde transport between the ER and Golgi; synaptobrevin homolog
DBP9	YLR276C	DBP9	ATP-dependent RNA helicase of the DEAD-box family involved in biogenesis of the 60S ribosomal subunit
YLR280C	YLR280C	YLR280C	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
RSO55	YLR281C	RSO55	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YLR281C is not an essential gene
RPS30A	YLR287C-A	RPS30A	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps30Bp and has similarity to rat S30 ribosomal protein
GSP1	YLR293C	GSP1	Ran GTPase, GTP binding protein (mammalian Ranp homolog) involved in the maintenance of nuclear organization, RNA processing and transport; regulated by Srm1p, Rna1p, Yrb1p, Yrb2p, Yrp4p, Yrb30p, Cse1p and Kap95p; yeast Gsp2p homolog
YLR294C	YLR294C	YLR294C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene ATP14
YLR297W	YLR297W	YLR297W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole; YLR297W is not an essential gene; induced by treatment with 8-methoxypsoralen and UVA irradiation
ECM38	YLR299W	ECM38	Gamma-glutamyltranspeptidase, major glutathione-degrading enzyme; involved in detoxification of electrophilic xenobiotics; expression induced mainly by nitrogen starvation
MET17	YLR303W	MET17	Methionine and cysteine synthase (O-acetyl homoserine-O-acetyl serine sulfhydrylase), required for sulfur amino acid synthesis
ACO1	YLR304C	ACO1	Aconitase, required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; phosphorylated; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy
CDC3	YLR314C	CDC3	Component of the septin ring of the mother-bud neck that is required for cytokinesis; septins recruit proteins to the neck and can act as a barrier to diffusion at the membrane, and they comprise the 10nm filaments seen with EM
EST2	YLR318W	EST2	Reverse transcriptase subunit of the telomerase holoenzyme, essential for telomerase core catalytic activity, involved in other aspects of telomerase assembly and function; mutations in human homolog are associated with aplastic anemia
PEX30	YLR324W	PEX30	Peroxisomal integral membrane protein, involved in negative regulation of peroxisome number; partially functionally redundant with Pex31p; genetic interactions suggest action at a step downstream of steps mediated by Pex28p and Pex29p
RPL38	YLR325C	RPL38	Protein component of the large (60S) ribosomal subunit, has similarity to rat L38 ribosomal protein
RPS25B	YLR333C	RPS25B	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps25Ap and has similarity to rat S25 ribosomal protein
VRP1	YLR337C	VRP1	Proline-rich actin-associated protein involved in cytoskeletal organization and cytokinesis; related to mammalian Wiskott-Aldrich syndrome protein (WASP)-interacting protein (WIP)
YLR338W	YLR338W	YLR338W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF VRP1/YLR337C
YLR339C	YLR339C	YLR339C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the essential gene RPP0
RPP0	YLR340W	RPP0	Conserved ribosomal protein P0 of the ribosomal stalk, which is involved in interaction between translational elongation factors and the ribosome; similar to rat P0, human P0, and E. coli L10e; phosphorylated on serine 302
GAS2	YLR343W	GAS2	1,3-beta-glucanosyltransferase, involved with Gas4p in spore wall assembly; has similarity to Gas1p
RPL26A	YLR344W	RPL26A	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl26Bp and has similarity to E. coli L24 and rat L26 ribosomal proteins; binds to 5.8S rRNA
KAP95	YLR347C	KAP95	Karyopherin beta, forms a complex with Srp1p/Kap60p; interacts with nucleoporins to mediate nuclear import of NLS-containing cargo proteins via the nuclear pore complex; regulates PC biosynthesis; GDP-to-GTP exchange factor for Gsp1p
DIC1	YLR348C	DIC1	Mitochondrial dicarboxylate carrier, integral membrane protein, catalyzes a dicarboxylate-phosphate exchange across the inner mitochondrial membrane, transports cytoplasmic dicarboxylates into the mitochondrial matrix
YLR349W	YLR349W	YLR349W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; overlaps the verified ORF DIC1/YLR348C
TAL1	YLR354C	TAL1	Transaldolase, enzyme in the non-oxidative pentose phosphate pathway; converts sedoheptulose 7-phosphate and glyceraldehyde 3-phosphate to erythrose 4-phosphate and fructose 6-phosphate
ILV5	YLR355C	ILV5	Bifunctional acetohydroxyacid reductoisomerase and mtDNA binding protein; involved in branched-chain amino acid biosynthesis and maintenance of wild-type mitochondrial DNA; found in mitochondrial nucleoids
ADE13	YLR359W	ADE13	Adenylosuccinate lyase, catalyzes two steps in the 'de novo' purine nucleotide biosynthetic pathway; expression is repressed by adenine and activated by Bas1p and Pho2p; mutations in human ortholog ADSL cause adenylosuccinase deficiency
GRX8	YLR364W	GRX8	Glutaredoxin that employs a dithiol mechanism of catalysis; monomeric; activity is low and null mutation does not affect sensitivity to oxidative stress; GFP-fusion protein localizes to the cytoplasm; expression strongly induced by arsenic
RPS22B	YLR367W	RPS22B	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps22Ap and has similarity to E. coli S8 and rat S15a ribosomal proteins
ELO3	YLR372W	ELO3	Elongase, involved in fatty acid and sphingolipid biosynthesis; synthesizes very long chain 20-26-carbon fatty acids from C18-CoA primers; involved in regulation of sphingolipid biosynthesis
